Age,Frontal Correlation Frontal Correlation 0.6,Frontal Correlation Frontal Correlation 0.8,Frontal Timeshift 0.2,Posterior Correlation 0.4,Posterior Correlation 0.6,Posterior Correlation 0.8,Posterior Correlation 1,Left Correlation 0.6,Left Correlation 0.8,Left Timeshift 0.2,Right Correlation 0.8,Condition
33,0.801873,0.651455,0.04,0.827122,0.818982,0.682319,0.614517,0.807462,0.664158,0.0547059,0.688423,0
31,0.732488,0.612678,0.0361765,0.824824,0.745622,0.624515,0.684402,0.753492,0.587377,0.0605882,0.608937,0
32,0.746412,0.58217,0.153824,0.752195,0.787581,0.633171,0.651793,0.748292,0.580696,0.177353,0.641212,0
33,0.764,0.636117,0.0364706,0.810981,0.801524,0.664291,0.632535,0.77516,0.633767,0.0291176,0.665063,0
52,0.796348,0.685952,0.162059,0.766981,0.820108,0.662947,0.624698,0.81251,0.67031,0.168824,0.678999,0
35,0.78593,0.546551,0.0820588,0.754795,0.801132,0.616431,0.65348,0.79249,0.59917,0.0932353,0.605859,0
29,0.758193,0.647539,0.0238235,0.7804,0.755706,0.65476,0.686813,0.766706,0.635868,0.0158824,0.637372,0
30,0.748689,0.633224,0.280294,0.712566,0.770287,0.663604,0.623388,0.726367,0.666155,0.287941,0.665323,0
32,0.711214,0.627875,0.0617647,0.839543,0.747562,0.626124,0.620559,0.721193,0.628581,0.119118,0.67185,0
54,0.750756,0.664512,0.188235,0.796417,0.719783,0.658752,0.648825,0.744136,0.639774,0.195882,0.651257,0
43,0.747741,0.517018,0.0832353,0.812985,0.747755,0.628369,0.617159,0.721292,0.545411,0.0655882,0.546258,0
30,0.786703,0.599328,0.17,0.752884,0.734218,0.537206,0.562047,0.742035,0.563626,0.177353,0.578297,0
41,0.758577,0.663127,0.166765,0.835914,0.764653,0.59632,0.61142,0.737902,0.650862,0.144118,0.637859,0
37,0.751684,0.608523,0.15,0.751462,0.795685,0.653843,0.608411,0.790503,0.610397,0.146471,0.612919,0
28,0.772597,0.635636,0.0558824,0.823327,0.744302,0.66299,0.61113,0.758433,0.653475,0.0332353,0.669143,0
54,0.771597,0.679833,0.200882,0.817577,0.785368,0.692997,0.598089,0.739427,0.684649,0.150882,0.698194,0
54,0.746753,0.647535,0.235,0.794899,0.7285,0.635519,0.603798,0.742836,0.666461,0.251765,0.670817,0
42,0.783966,0.572374,0.117353,0.708004,0.797891,0.65783,0.588591,0.782974,0.626898,0.134706,0.585284,0
58,0.752485,0.64552,0.172059,0.758792,0.753601,0.60534,0.655772,0.768289,0.621961,0.157353,0.603099,0
33,0.75249,0.829286,0.00971429,0.7044,0.768629,0.845545,0.79578,0.749724,0.838659,0.00285714,0.853307,1
31,0.690008,0.775521,0.0217143,0.692516,0.72536,0.815337,0.770055,0.690784,0.762936,0.0377143,0.821188,1
32,0.693941,0.803366,0.00314286,0.726044,0.756115,0.872121,0.813543,0.683785,0.82488,0.000285714,0.85254,1
33,0.751896,0.830285,0.00542857,0.72839,0.727604,0.839772,0.77167,0.723502,0.81003,0.006,0.858673,1
52,0.720194,0.775085,0.024,0.685656,0.698121,0.749942,0.676003,0.705692,0.770744,0.0185714,0.756681,1
35,0.661229,0.75052,0.0511429,0.697948,0.713295,0.799941,0.726294,0.698545,0.776468,0.0165714,0.757995,1
29,0.693014,0.785535,0.0314286,0.668328,0.720985,0.819152,0.791927,0.696385,0.813079,0.0391429,0.818015,1
30,0.609914,0.73434,0.0145714,0.690973,0.608787,0.740432,0.719614,0.593772,0.728835,0.0265714,0.729794,1
32,0.722474,0.712284,0.058,0.756099,0.710596,0.77959,0.687266,0.721735,0.74565,0.0591429,0.684469,1
54,0.698593,0.760144,0.03,0.769415,0.722672,0.838602,0.805707,0.713528,0.813296,0.0268571,0.786145,1
43,0.662593,0.75554,0,0.711459,0.643729,0.792765,0.73449,0.653402,0.77459,0.00714286,0.763781,1
30,0.692645,0.763936,0.0574286,0.735439,0.694118,0.761636,0.737288,0.70241,0.753868,0.052,0.769506,1
41,0.676558,0.723634,0.107714,0.744477,0.717007,0.818028,0.756518,0.699946,0.765958,0.0534286,0.76998,1
37,0.664446,0.750234,0.0157143,0.707711,0.714575,0.778136,0.764593,0.66795,0.763266,0.0125714,0.758831,1
28,0.684479,0.74367,0.00628571,0.731628,0.711723,0.791257,0.751639,0.702223,0.747287,0,0.7643,1
54,0.689483,0.791233,0.0442857,0.745771,0.759775,0.850909,0.760282,0.722228,0.767214,0.0228571,0.787721,1
54,0.695403,0.651738,0.00914286,0.800797,0.699993,0.740522,0.778519,0.698127,0.663244,0.0105714,0.700167,1
42,0.718765,0.758327,0.0154286,0.707044,0.688004,0.796909,0.692397,0.713107,0.769843,0.0177143,0.774519,1
58,0.701856,0.743096,0.0148571,0.754536,0.747547,0.81324,0.796643,0.744529,0.789196,0.00485714,0.792826,1
